date,Total_Doses
2020-12-20,
2020-12-21,57909.0
2020-12-22,196954.0
2020-12-23,196954.0
2020-12-24,468280.0
2020-12-25,234140.0
2020-12-26,234140.0
2020-12-27,91279.0
2020-12-28,91279.0
2020-12-29,333722.5
2020-12-30,333722.5
2020-12-31,715584.0
2021-01-01,357792.0
2021-01-02,357792.0
2021-01-03,168752.0
2021-01-04,168752.0
2021-01-05,273209.0
2021-01-06,470328.0
2021-01-07,612621.0
2021-01-08,768813.0
2021-01-09,1149545.5
2021-01-10,574772.75
2021-01-11,574772.75
2021-01-12,10618728.0
2021-01-13,1659327.0
2021-01-14,2210113.0
2021-01-15,2467833.0
2021-01-16,3608647.0
2021-01-17,1804323.5
2021-01-18,902161.75
2021-01-19,902161.75
2021-01-20,1798177.0
2021-01-21,2220730.0
2021-01-22,2861197.0
2021-01-23,3470244.0
2021-01-24,1205523.0
2021-01-25,3463439.0
2021-01-26,1624845.0
2021-01-27,2402290.0
2021-01-28,3279369.0
2021-01-29,3597157.0
2021-01-30,3577647.0
2021-01-31,3269081.0
2021-02-01,2263267.0
2021-02-02,1219597.0
2021-02-03,2365735.0
2021-02-04,2838532.0
2021-02-05,3440610.0
2021-02-06,4544802.0
2021-02-07,4552340.0
2021-02-08,2518043.0
2021-02-09,1645887.0
2021-02-10,3288835.0
2021-02-11,3409631.0
2021-02-12,4197196.0
2021-02-13,4619807.0
2021-02-14,4635672.0
2021-02-15,2406250.0
2021-02-16,2406250.0
2021-02-17,2222765.0
2021-02-18,3021558.0
2021-02-19,6613426.0
2021-02-20,1888109.0
2021-02-21,3981195.5
2021-02-22,3981195.5
2021-02-23,4317695.5
2021-02-24,2158847.75
2021-02-25,2158847.75
2021-02-26,4564171.0
2021-02-27,4977541.0
2021-02-28,5036594.0
2021-03-01,3439804.0
2021-03-02,3513540.0
2021-03-03,3933042.0
2021-03-04,4199854.0
2021-03-05,5014795.0
2021-03-06,5959670.0
2021-03-07,5019920.0
2021-03-08,3562752.0
2021-03-09,3312017.0
2021-03-10,4152201.0
2021-03-11,3797199.0
2021-03-12,5949292.0
2021-03-13,9314319.0
2021-03-14,4174738.0
2021-03-15,4180607.0
2021-03-16,3351376.0
2021-03-17,4700676.0
2021-03-18,5516812.0
2021-03-19,5284859.0
2021-03-20,6370402.0
2021-03-21,6204601.0
2021-03-22,4131096.0
2021-03-23,4012969.5
2021-03-24,4012969.5
2021-03-25,5749210.0
2021-03-26,6897965.0
2021-03-27,7109493.0
2021-03-28,6691400.0
2021-03-29,4768072.0
2021-03-30,3591568.0
2021-03-31,5435801.0
2021-04-01,6823278.0
